Country,Capital,Longitude,Lattitude,Language,Official
Northern-Mariana-Islands,Saipan,145.75,15.21,Chamorro,TRUE
Northern-Mariana-Islands,Saipan,145.75,15.21,English,TRUE
Norway,Oslo,10.75,59.91,Sami,TRUE
Norway,Oslo,10.75,59.91,Norwegian,TRUE
Oman,Muscat,58.59,23.61,Arabic,TRUE
Pakistan,Islamabad,73.4,33.72,Urdu,TRUE
Palau,Melekeok,134.62,7.5,English,TRUE
Palau,Melekeok,134.62,7.5,Palauan,TRUE
Palestine,East-Jerusalem,31.77,35.23,Arabic,TRUE
Panama,Panama-City,-79.52,8.99,Spanish,TRUE
Papua-New-Guinea,Port-Moresby,147.18,-9.44,English,TRUE
Papua-New-Guinea,Port-Moresby,147.18,-9.44,Hiri-Motu,TRUE
Papua-New-Guinea,Port-Moresby,147.18,-9.44,Tok-Pisin,TRUE
Paraguay,Asuncion,-57.64,-25.3,Guarani,
Paraguay,Asuncion,-57.64,-25.3,Spanish,
Peru,Lima,-77.3,-12.4,Ayamara,
Peru,Lima,-77.3,-12.4,Quechua,
Peru,Lima,-77.3,-12.4,Spanish,
Philippines,Manila,120.98,14.6,English,
Philippines,Manila,120.98,14.6,Filipino,
Pitcairn,Adamstown,-130.1,-25.7,English,
Poland,Warsaw,21.1,52.23,Polish,
Portugal,Lisbon,-9.13,38.72,Portuguese,
Puerto-Rico,San-Juan,-66.11,18.47,English,
Qatar,Doha,51.52,25.28,Arabic,
Reunion,Saint-Denis,55.45,-20.88,French,
Romania,Bucharest,26.11,44.43,Romanian,
Russian-Federat,Moscow,37.62,55.75,Russian,
Rwanda,Kigali,30.6,-1.95,English,
Rwanda,Kigali,30.6,-1.95,French,
Rwanda,Kigali,30.6,-1.95,Kinyarwanda,
Samoa,Apia,-171.77,-13.83,English,
Samoa,Apia,-171.77,-13.83,Samoan,
San-Marino,San-Marino,12.45,43.94,Italian,
SaoTome&Principe,Sao-Toma,6.73,0.34,Portuguese,
Saudi-Arabia,Riyadh,46.72,24.69,Arabic,
Senegal,Dakar,-17.44,14.69,French,
Serbia,Belgrade,20.47,44.8,Serbocroatian,
Seychelles,Victoria,55.45,-4.62,English,
Seychelles,Victoria,55.45,-4.62,French,
Sierra-Leone,Freetown,-13.23,8.48,English,
Singapore,Singapore,103.85,1.29,Chinese,
Singapore,Singapore,103.85,1.29,English,
Singapore,Singapore,103.85,1.29,Malay,
Singapore,Singapore,103.85,1.29,Tamil,
Slovak-Republic,Bratislava,17.11,48.15,Slovak,
Slovenia,Ljubljana,14.51,46.5,Slovenian,
Solomon-Islands,Honiara,159.95,-9.43,English,
Somalia,Mogadishu,45.34,2.4,Arabic,
Somalia,Mogadishu,45.34,2.4,Somali,
South-Africa,Pretoria,28.19,-25.74,Afrikaans,
South-Africa,Pretoria,28.19,-25.74,English,
South-Africa,Pretoria,28.19,-25.74,Sotho,
South-Georgia-and-the-South-Sandwich-Islands,Grytviken,-36.51,-54.28,English,
South-Korea,Seoul,126.98,37.57,Korean,
Spain,Madrid,-3.7,40.42,Spanish,
Sri-Lanka,Colombo,79.85,6.93,Singhalese,
Sri-Lanka,Colombo,79.85,6.93,Tamil,
St.Barthelemy,Gustavia,-62.85,17.9,French,
St.Helena,Jamestown,-5.72,-15.94,English,
St.Kitts-and-Nevis,Basseterre,-62.73,17.29,English,
St.Lucia,Castries,-61.1,14,English,
St.Martin,Marigot,-63.8,18.7,French,
St.Pierre-and-Miquelon,Saint-Pierre,-56.17,46.78,French,
St.Vincent-and-the-Grenadines,Kingstown,-61.22,13.16,English,
Sudan,Khartoum,32.53,15.55,Arabic,
Sudan,Khartoum,32.53,15.55,English,
Suriname,Paramaribo,-55.17,5.87,Dutch,
Svalbard-and-Jan-Mayen,Longyearbyen,15.64,78.22,Norwegian,
Swaziland,Mbabane,31.13,-26.32,English,
Swaziland,Mbabane,31.13,-26.32,Swazi,
Sweden,Stockholm,18.6,59.33,Swedish,
Switzerland,Berne,7.45,46.95,French,
Switzerland,Berne,7.45,46.95,German,
Switzerland,Berne,7.45,46.95,Italian,
Syria,Damascus,36.29,33.51,Arabic,
Taiwan,Taipei,121.53,25.5,Chinese,
Tajikistan,Dushanbe,68.78,38.54,Tadzik,
Tanzania,Dodoma,35.74,-6.17,English,
Tanzania,Dodoma,35.74,-6.17,Swahili,
Thailand,Bangkok,100.5,13.75,Thai,
Togo,Lome,1.21,6.14,French,
Tokelau,Nukunonu,-171.85,-9.2,English,
Tokelau,Nukunonu,-171.85,-9.2,Tokelauan,
Tonga,Nuku'alofa,-175.2,-21.13,English,
Tonga,Nuku'alofa,-175.2,-21.13,Tongan,
Trinidad&Tobago,Port-of-Spain,-61.52,10.67,English,
Tunisia,Tunis,10.17,36.82,Arabic,
Turkey,Ankara,32.85,39.92,Turkish,
Turkmenistan,Ashkhabad,58.38,37.95,Russian,
Turkmenistan,Ashkhabad,58.38,37.95,Turkmen,
Turks-and-Caicos-Islands,Cockburn-Town,-71.14,21.46,English,
Tuvalu,Funafuti,179.19,-8.52,English,
Tuvalu,Funafuti,179.19,-8.52,Tuvaluan,
U.S.-Virgin-Islands,Charlotte-Amalie,-64.93,18.34,English,
Uganda,Kampala,32.58,0.32,English,
Uganda,Kampala,32.58,0.32,Swahili,
Ukraine,Kiev,30.52,50.45,Ukrainian,
United-Arab-Emir,Abu-Dhabi,54.37,24.47,Arabic,
United-Kingdom,London,0.13,51.51,English,
United-States,Washington,-77.4,38.9,English,
Uruguay,Montevideo,-56.17,-34.83,Spanish,
Uzbekistan,Tashkent,69.22,41.26,Russian,
Uzbekistan,Tashkent,69.22,41.26,Uzbek,
Vanuatu,Port-Vila,168.32,-17.73,Bislama,
Vanuatu,Port-Vila,168.32,-17.73,English,
Vanuatu,Port-Vila,168.32,-17.73,French,
Vatican,Vatican,12.45,41.9,Italian,
Vatican,Vatican,12.45,41.9,Latin,
Venezuela-Rep,Caracas,-66.88,10.49,Spanish,
Vietnam,Hanoi,105.84,21.2,Vietnamese,
Wallis-and-Futuna,Mata-Utu,-176.17,-13.28,French,
Western-Sahara,El-Alamein,-13.2,27.16,Arabic,
Yemen-Rep.,Sanaa,44.21,15.35,Arabic,
Zambia,Lusaka,28.29,-15.41,English,
Zimbabwe,Harare,31,-17.83,Chewa,
Zimbabwe,Harare,31,-17.83,English,
